user_name,user_country,review_datetime,review_text,review_rating,source,sight,country_rus
Leonid Z,russia,08.12.18,"Отличное место для тех кто любит дикую природу, вулканы и океан. Если вы ищете непроходимые места, бездорожье - это для вас.",10,tripadvisor,Полуостров Камчатка,Россия
Константин Т,russia,14.08.18,"Лето на Камчатке короткое, но интенсивное. Зелень прёт выше человеческого роста. все загородные передвижения наиболее возможны и комфортны на джипах с очень большими колёсами. Погода меняется непредсказуемо быстро. Только ты видел вершины вулканов и ткт же набежала низкая облачность и скрыла всю эту красоту. Наиболее интересные поездки оказались: морская и речная рыбалки, джип-тур к подножию вулканов, мини-долина гейзеров (Дачный) и этно-тур на собачью ферму. На это уйдёт неделя при хорошей погоде. К вывозу доступно мясо крабов, красная икра, копчёная рыба. На рынке всё упакуют к перевозке. Но.... цены на всё нематериковые. Алкоголь *2, помидоры - 460 руб/кг, гостиницы и отели - бронировать от 6 до 3-х месяцев до поездки. Понравилось очень размещение в ""Русском Дворе""",10,tripadvisor,Полуостров Камчатка,Россия
mariannatest,russia,12.08.18,"Была на Камчатке с братом в середине лета – в июле 2018 года. Хоть и середина лета, но хорошо, что взяли с собой тёплую одежду. Все дни нашего пребывания было холодно, как поздней осенью. Камчатка на то и Камчатка, что у неё есть только два времени года – это зима, которая длится девять месяцев и три месяца осени. Но всё равно её надо увидеть хоть раз в жизни, потому что здесь начинается Россия! Это просто необитаемый остров, где нет никаких заводов, нет газа, нет железных дорог, поэтому вся природа растёт сама по себе. Всё – в первозданной красоте: нетронутые природные лесные и горные ландшафты, чистейшие реки. Поэтому лучше всего сразу взять напрокат автомобиль, как поступили мы. Мы посмотрели природу, вулканы, целебные горячие источники, рыбалку, охоту, съездили на океан, поели настоящую икру и рыбу собственного приготовления. Но чтобы полюбоваться красотой Камчатки – это дорого для среднего уровня путешественников. Добраться можно только самолётом, либо пароходом, поэтому только дорога будет стоить целое состояние. Камчатский край остаётся в целом малодоступным как для российских, так и для иностранных туристов. Туризм здесь развивается стихийно, непродуманно: не оправданно дорогой сервис при относительно слаборазвитой инфраструктуре. Кроме природы смотреть на Камчатке больше нечего. Сервиса никакого, начиная с аэропорта. Аэропорт начальной постройки. Багаж выдают на улице. Архитектуры никакой. Серые невысокие здания из-за сейсмичности. Красивых торговых центров нет.",6,tripadvisor,Полуостров Камчатка,Россия
Ольга Р,russia,21.07.18,"Всё красиво, это понятно! Отдельно о сервисе! Он очень дорогой и крайне низкого качества! Хочу предостеречь от услуг агентства ""Витус"" Виктор Беляев! Не попадитесь на их уловки, как мы! Они заточены тупо срубить с туристов бабло и плевать нравится вам или нет, устраивает вас что-то или нет. И это все за огромные деньги! Трансфер на убитых малолитражках, не приспособленных для перевозки людей с большими рюкзаками, так в них еще и ничего не работает, никогда не мылись, мы испортили вещи в мазуте. Питание, которое включено в их услуги, на 90% из просроченных продуктов и крайне скудно. Например обещанный обед на вулкане состоял из яблока, бутерброда, которые мы сами и делали, и печеньки!! Все снаряжение и посуда крайне стрёмные, замызганные, поломанные. С если вы позволите чем-то возмутиться, то они не гнушатся оскорблением туристов или плевать, что вам там не нравится. Вообще, советую обращаться к ребятам-организаторам туров из Питера или Москвы, те, хотя бы, имеют понятие о конкуренции и достойном сервисе, в отличие от местных. 89184608389 поделюсь с опытом, чтобы никто больше не разочаровался. Сплав по реке не советую, не тратьте время. Вулканы и морские прогулки - советую",8,tripadvisor,Полуостров Камчатка,Россия
Нелли П,russia,10.07.18,"Я раньше жила на Камчатке. Переехала в 2001 году на материк. С того года посещала полуостров два раза, обе поездки прошли просто замечательно и несравнимо друг с другом)) Одна поездка состоялась зимой, а вторая летом. Положительных эмоций много!! Всем рекомендую посмотреть природу и достопримечательности Камчатки.",10,tripadvisor,Полуостров Камчатка,Россия
LV_Pff,russia,30.03.18,"Это отлично, что есть возможность написать в целом о Камчатке и о том, как она покоряет сердце раз и навсегда. Когда начинаешь оценивать это край по кусочкам, то вроде бы и ничего особенного. Вулканы, океаны, горы, водопады, бурные реки, красивые озера, термальные бассейны, медведи, гейзеры, вкусная рыба, настоящий хлеб, очумительный квас, театр на уровне московского - есть и в других местах Земли, а сервис гостиничный, интернет - здесь не поддается критике и оставляет желать лучшего. Но концентрация всего на не очень большом острове - это просто зашкал эмоций! Здесь на каждом шагу то, чего больше нет нигде. Когда ты выходишь из подъезда, а напротив ""домашний"" вулкан, когда на рынке бутылка кефира стоит как 100 грамм икры, и это не потому, что икра дешево, просто кефир фантастически дорог, когда люди говорят на правильном русском языке, который мы подзабыли уже - начинаешь чувствовать себя на другой планете! И хочется прилететь снова и снова. Жалко, что такие дорогие билеты. Но мы все равно прилетим! Потому что Камчатка, ее люди и природа покоряют навсегда! Хочется отметить к чему надо быть готовым: плохой интернет всегда и везде (не ждите милостей от вай-фая); если снимаете квартиру будьте готовы к некоторому иному, чем привыкли в европах и пятизвездочниках, сервису (просто здесь это несколько неразвито. В гостиницах не жила, не знаю!); очень дорогие самые обычные продукты, но этот компенсируется морепродуктами; таксисты ведут себя странно, подъехав по вызову - не перезванивают, дорого им, надо самим процесс контролировать; для поездок на природу - ищите водителей с джипами самостоятельно, так получается намного дешевле; будьте готовы к акклиматизации - она наступает на 2-3 день, организм начинает капризничать. Обязательно постарайтесь попасть на рыбалку и обязательно попробуйте местные хлеб и квас, они как из нашего советского прошлого, очень вкусные!",10,tripadvisor,Полуостров Камчатка,Россия
Anastasiya K,russia,05.02.18,"Выдалась возможность отдохнуть с сестрой и вместо задуманного Гоа, решили улететь на Камчатку. И это был лучшее решение, ведь кто здесь побывал, тот влюбляется в жизнь! Кажется за это 6-дневное путешествие мы прожили целую вечность, полную незабываемых впечатлений. Полное единение с природой, когда ты наедине с заснеженным вулканом, когда раскатываешь целину не думая о времени, когда весь мир подождет. Купание в Малкинских источниках, когда огромные хлопья снега кружатся в воздухе и прыжки в метровые пушистые сугробы. И вот полчаса и солнце обогревает нас и позирует для прекрасных фотографий. А встреча с океаном, где только музыка огромных волн нарушала тишину мироздания. И много ещё всего, что не описать словами! Камчатка-это любовь)",10,tripadvisor,Полуостров Камчатка,Россия
akirienko65,russia,14.01.18,"Удалось побывать здесь два раза.Полуостров красив в любое время года, в него влюбился мой младший сын и теперь он уже побывал там четыре раза.Путешествие не из дешевых, но таких эмоций не получить больше нигде.",10,tripadvisor,Полуостров Камчатка,Россия
Galina_Breeze,russia,07.11.17,"Камчатка —особое место на карте. Камчатка живёт на 9 часов раньше Москвы! На Камчатке люди ходят вверх ногами и играют на хомусе причудливую музыку. Дружат с собаками и китами. Питаются грибами и волшебной рыбой Чавыча. На Камчатке хорошо, потому что красиво и очень интересно! Мы любим гостей и всегда их ждём. До встречи на Камчатке, будущие друзья!.",10,tripadvisor,Полуостров Камчатка,Россия
Provodnik,russia,23.08.17,"Местные называют их просто Ганалы. Это весьма компактный хребет недалеко от аэропорта. Проехать к нему можно от 145 километра трассы Петропавловск-Мильково. Заброска пешая около 15 км. Хотя первые 5-6 км можно проехать на подготовленном транспорте. Чем примечателен хребет, так это впечатляющими монолитными стенами и башнями. Особо выделяется вершина Палец. Лучшее время для посещения - август. В это время на плато образованном древним ледником с множеством микро-озер вода в них прогревается до доступной для купания температуры. Прекрасная тундровая природа и впечатляющие виды на скальные бастионы. С опытным инструктором доступно восхождение на главную башню (2062м.) по самому простому из имеющихся маршрутов. Потратить на посещение достаточно два дня. Возвращаясь не примените посетить Малкинские термальные источники.",10,tripadvisor,Полуостров Камчатка,Россия
Наталья Д,russia,08.03.17,"Шли 14 дней под рюкзаками по силе прекрасному краю. Камчатка прекрасна! Путешественнику, а тем более туристу-походнику там обязательно надо побывать. Мы, казалось бы, увидели там всё: и медведей, и росомах, и вулканы, и океан, и гейзеры, и Горячие источники, и туманы такие, что за вытянутой рукой ничего не видно, и погоду такую, что думала такой и не бывает: ураганный ветер, сбивающий с ног и ломающий палатки, ледяной дождь... Камчатка щедра была на демонстрацию своих богатств. Для туристов: разумнее передвигаться там вахтовками, а не пешком. Дороги там есть и хорошие. Обязательно ищите местных гидов. С не местными у групп много проблем. И для восхождений берите защитные очки и респиратор или вмп. От медведей помогает уксус. Камчатка, я тебя люблю.",10,tripadvisor,Полуостров Камчатка,Россия
